merchant_id,merchant_name,category,industry,total_revenue,success_rate,refund_rate,chargeback_rate,retention_rate,total_transactions,avg_order_value,active_customers,merchant_health_score,risk_score,risk_level,merchant_status,created_at
M0040,Aura Ventures,FoodTech & QSR,FoodTech & QSR,336476.68,98.19,0.71,0.03,85.01,300,1121.59,172,91.58,9.19,LOW,ACTIVE,2026-03-12
M0041,Titan Cloud,E-Commerce,E-Commerce,34535799.12,99.53,1.85,0.18,65.48,32026,1078.37,21540,84.04,17.25,LOW,ACTIVE,2024-10-10
M0042,Scale Dynamics,SaaS & Subscriptions,SaaS & Subscriptions,1431054.5,99.61,1.93,0.39,74.13,1094,1308.09,688,86.95,16.93,LOW,ACTIVE,2024-10-05
M0043,Vertex Cart,Fintech & Wealth,Fintech & Wealth,19824048.25,95.84,0.51,0.26,94.02,7560,2622.23,4006,91.72,11.6,LOW,ACTIVE,2025-05-24
M0044,Core Solutions,EdTech,EdTech,3456033.94,94.56,1.31,0.45,69.34,2505,1379.65,1636,79.08,24.01,LOW,ACTIVE,2025-07-10
M0045,Aura Hub,Health & Wellness,Health & Wellness,23334774.25,91.85,3.98,1.13,53.27,620,37636.73,454,64.36,46.88,MEDIUM,ACTIVE,2025-07-02
M0046,Orbit Digital,Travel & Hospitality,Travel & Hospitality,15291196.92,98.7,1.76,0.41,80.85,2257,6775.01,1344,88.5,16.18,LOW,ACTIVE,2025-04-25
M0047,Nexus Store,Gaming & Entertainment,Gaming & Entertainment,14274954.83,97.77,1.46,0.36,92.59,817,17472.4,438,92.28,13.19,LOW,ACTIVE,2025-07-07
M0048,Flux Mart,D2C Retail,D2C Retail,1032017.65,94.55,1.24,0.04,79.43,2914,354.16,1756,83.86,17.98,LOW,ACTIVE,2025-07-09
M0049,Nexus Mart,B2B Logistics,B2B Logistics,593425.55,97.43,0.25,0.04,90.5,937,633.33,513,93.28,7.42,LOW,ACTIVE,2026-05-07
M0050,Beacon Store,FoodTech & QSR,FoodTech & QSR,220258.42,90.13,4.18,0.69,59.33,169,1303.3,118,65.01,45.12,MEDIUM,ACTIVE,2024-08-28
M0051,Nova Cloud,E-Commerce,E-Commerce,137875.6,97.08,1.17,0.29,87.51,43032,3.2,24203,89.93,13.92,LOW,ACTIVE,2024-09-19
M0052,Orbit Prime,SaaS & Subscriptions,SaaS & Subscriptions,2474452.68,88.55,4.25,0.74,55.1,162,15274.4,117,61.09,49.2,MEDIUM,ACTIVE,2025-01-22
M0053,Horizon Store,Fintech & Wealth,Fintech & Wealth,117063.34,85.53,8.76,2.68,38.54,293,399.53,236,40.8,89.17,HIGH,UNDER_REVIEW,2026-03-14
M0054,Quantum Works,EdTech,EdTech,264374.09,95.45,1.19,0.33,85.47,569,464.63,325,86.87,17.26,LOW,ACTIVE,2024-09-27
M0055,Aero Hub,Health & Wellness,Health & Wellness,37770501.45,91.83,3.6,1.05,54.65,466,81052.58,338,65.53,44.59,MEDIUM,ACTIVE,2025-08-06
M0056,Velocity Dynamics,Travel & Hospitality,Travel & Hospitality,913607.34,98.4,0.23,0.07,66.43,128,7137.56,85,85.28,12.16,LOW,ACTIVE,2026-03-29
M0057,Velocity Solutions,Gaming & Entertainment,Gaming & Entertainment,20363970.35,91.56,3.38,0.59,56.31,1896,10740.49,1362,67.03,40.13,MEDIUM,ACTIVE,2026-01-27
M0058,Sync Digital,D2C Retail,D2C Retail,293404.42,80.3,6.79,2.55,42.16,132,2222.76,104,38.1,88.18,HIGH,UNDER_REVIEW,2025-01-24
M0059,Core Dynamics,B2B Logistics,B2B Logistics,1025813.03,97.63,1.11,0.39,85.42,275,3730.23,157,89.74,14.21,LOW,ACTIVE,2025-06-21
M0060,Sync Prime,FoodTech & QSR,FoodTech & QSR,155046.84,97.73,0.25,0.27,94.15,3574,43.38,1891,94.62,7.9,LOW,ACTIVE,2025-02-02
M0061,Lumina Prime,E-Commerce,E-Commerce,1115986.62,91.08,3.34,0.99,66.65,1101,1013.61,734,69.62,41.33,MEDIUM,ACTIVE,2026-03-20
M0062,Aero Ventures,SaaS & Subscriptions,SaaS & Subscriptions,39284795.81,99.25,0.55,0.05,68.12,111,353917.08,73,86.67,11.42,LOW,ACTIVE,2025-12-12
M0063,Nexus Commerce,Fintech & Wealth,Fintech & Wealth,179845.14,82.76,5.32,2.04,45.52,115,1563.87,88,45.66,74.42,HIGH,UNDER_REVIEW,2026-07-25
M0064,Stellar Works,EdTech,EdTech,15784324.62,95.63,0.41,0.32,84.5,23349,676.02,13484,87.79,14.43,LOW,ACTIVE,2026-07-05
M0065,Nova Mart,Health & Wellness,Health & Wellness,9636841.11,98.66,0.71,0.1,88.27,15052,640.24,8408,93.32,8.23,LOW,ACTIVE,2025-09-26
M0066,Velocity Cart,Travel & Hospitality,Travel & Hospitality,47135016.93,96.39,0.87,0.35,75.56,32515,1449.64,20230,84.7,17.37,LOW,ACTIVE,2025-04-10
M0067,Beacon Network,Gaming & Entertainment,Gaming & Entertainment,20741027.56,89.39,4.13,1.18,47.37,27287,760.11,20824,58.51,52.97,MEDIUM,ACTIVE,2024-09-07
M0068,Vertex Tech,D2C Retail,D2C Retail,2310260.74,98.79,0.78,0.41,77.07,106,21794.91,65,88.48,13.56,LOW,ACTIVE,2025-01-17
M0069,Aero Systems,B2B Logistics,B2B Logistics,27771465.42,94.53,0.77,0.43,94.47,3529,7869.5,1862,89.46,15.72,LOW,ACTIVE,2025-05-20
M0070,Vertex Hub,FoodTech & QSR,FoodTech & QSR,5073523.58,80.44,6.32,2.06,42.76,10730,472.84,8435,40.13,82.25,HIGH,UNDER_REVIEW,2025-01-30
M0071,Stellar Dynamics,E-Commerce,E-Commerce,13691407.45,98.58,0.36,0.23,66.78,3042,4500.79,2026,85.16,13.54,LOW,ACTIVE,2025-07-05
M0072,Core Pay,SaaS & Subscriptions,SaaS & Subscriptions,1554810.91,76.21,11.04,3.22,26.43,11357,136.9,9856,19.59,100.0,CRITICAL,RESTRICTED,2025-12-05
M0073,Scale Labs,Fintech & Wealth,Fintech & Wealth,4661782.52,94.59,0.35,0.32,67.26,16526,282.09,10968,79.86,20.08,LOW,ACTIVE,2025-11-17
M0074,Catalyst Dynamics,EdTech,EdTech,8056132.25,94.47,0.35,0.44,76.6,1000,8056.13,617,83.05,18.89,LOW,ACTIVE,2025-04-13
M0075,Pulse Direct,Health & Wellness,Health & Wellness,15621461.1,99.49,1.97,0.34,76.66,168,92984.89,103,87.81,16.22,LOW,ACTIVE,2025-08-08
M0076,Lumina Cart,Travel & Hospitality,Travel & Hospitality,12516883.64,81.53,6.91,3.04,33.78,2135,5862.71,1774,35.38,92.77,HIGH,UNDER_REVIEW,2026-02-20
M0077,Omni Pay,Gaming & Entertainment,Gaming & Entertainment,107310.73,96.72,0.3,0.07,68.64,5651,18.99,3711,83.79,14.37,LOW,ACTIVE,2025-10-19
M0078,Sync Dynamics,D2C Retail,D2C Retail,10316983.86,97.38,1.93,0.18,73.86,22096,466.92,13935,84.29,18.66,LOW,ACTIVE,2026-01-16
M0079,Stellar Cart,B2B Logistics,B2B Logistics,401308.59,99.59,0.22,0.44,66.34,25419,15.79,16987,86.1,13.32,LOW,ACTIVE,2026-04-04
M0080,Stellar Labs,FoodTech & QSR,FoodTech & QSR,2656130.84,99.76,0.33,0.26,95.05,2581,1029.11,1354,97.59,4.83,LOW,ACTIVE,2026-06-26
M0081,Forge Direct,E-Commerce,E-Commerce,4997215.12,98.04,1.02,0.29,83.11,27051,184.73,15809,89.72,13.05,LOW,ACTIVE,2024-09-20
M0082,Flux Platform,SaaS & Subscriptions,SaaS & Subscriptions,132635.08,95.63,1.91,0.4,79.13,4717,28.12,2850,83.57,21.66,LOW,ACTIVE,2025-05-25
M0083,Vertex Cloud,Fintech & Wealth,Fintech & Wealth,560587.61,71.32,11.69,3.67,30.84,162,3460.42,137,13.0,100.0,CRITICAL,RESTRICTED,2024-11-06
M0084,Velocity Ventures,EdTech,EdTech,42644434.36,93.79,3.99,0.98,52.12,15718,2713.1,11621,66.79,43.09,MEDIUM,ACTIVE,2026-07-12
M0085,Core Platform,Health & Wellness,Health & Wellness,7048048.69,77.61,9.1,2.9,47.2,9092,775.19,6946,32.67,100.0,HIGH,UNDER_REVIEW,2025-11-24
M0086,Orbit Pay,Travel & Hospitality,Travel & Hospitality,4524694.0,89.3,4.62,1.28,46.04,117,38672.6,90,57.03,55.95,MEDIUM,ACTIVE,2025-12-29
M0087,Vertex Store,Gaming & Entertainment,Gaming & Entertainment,1037679.73,98.7,1.98,0.08,83.42,1066,973.43,621,89.86,13.66,LOW,ACTIVE,2026-05-21
M0088,Prism Pay,D2C Retail,D2C Retail,41473421.59,92.65,4.36,0.92,54.54,546,75958.65,397,65.83,45.01,MEDIUM,ACTIVE,2026-04-16
M0089,Pulse Ventures,B2B Logistics,B2B Logistics,141956.66,84.56,8.66,3.2,47.95,3155,44.99,2398,42.22,92.08,HIGH,UNDER_REVIEW,2024-11-27
M0090,Horizon Direct,FoodTech & QSR,FoodTech & QSR,11898000.07,99.48,1.73,0.13,78.97,223,53354.26,134,89.42,13.13,LOW,ACTIVE,2026-06-24
M0091,Nexus Prime,E-Commerce,E-Commerce,37579855.44,97.52,0.61,0.31,84.16,926,40583.0,536,89.94,12.3,LOW,ACTIVE,2025-04-27
M0092,Nova Tech,SaaS & Subscriptions,SaaS & Subscriptions,202529.61,97.9,1.14,0.35,81.13,19953,10.15,11859,88.49,14.66,LOW,ACTIVE,2024-11-23
M0093,Sync Works,Fintech & Wealth,Fintech & Wealth,3087308.32,90.43,4.47,0.86,48.08,119,25943.77,90,60.36,49.86,MEDIUM,ACTIVE,2024-09-08
M0094,Flux Tech,EdTech,EdTech,10916735.86,97.6,1.47,0.11,69.23,109,100153.54,71,83.55,17.32,LOW,ACTIVE,2026-06-09
M0095,Catalyst Digital,Health & Wellness,Health & Wellness,883538.15,97.42,0.91,0.21,93.03,870,1015.56,465,93.02,10.48,LOW,ACTIVE,2025-11-20
M0096,Catalyst Commerce,Travel & Hospitality,Travel & Hospitality,2439170.81,98.55,0.91,0.29,91.73,36536,66.76,19778,93.86,9.75,LOW,ACTIVE,2026-06-13
M0097,Velocity Works,Gaming & Entertainment,Gaming & Entertainment,249428.98,99.37,1.09,0.13,79.23,44165,5.65,26669,90.23,10.99,LOW,ACTIVE,2025-06-12
M0098,Core Cart,D2C Retail,D2C Retail,2135804.31,95.91,1.34,0.12,67.35,222,9620.74,147,80.73,19.95,LOW,ACTIVE,2025-05-05
M0099,Hyper Platform,B2B Logistics,B2B Logistics,221611.29,94.88,0.45,0.3,70.64,856,258.89,553,81.45,19.0,LOW,ACTIVE,2025-12-01
M0100,Forge Wave,FoodTech & QSR,FoodTech & QSR,26327220.97,89.74,3.9,0.66,49.42,128,205681.41,96,61.12,46.97,MEDIUM,ACTIVE,2025-01-22
M0101,Lumina Cloud,E-Commerce,E-Commerce,285726.6,95.62,0.52,0.06,68.74,1752,163.09,1149,82.09,16.68,LOW,ACTIVE,2025-12-18
M0102,Catalyst Cloud,SaaS & Subscriptions,SaaS & Subscriptions,360486.09,72.55,11.92,4.31,25.39,14374,25.08,12549,10.96,100.0,CRITICAL,RESTRICTED,2026-06-01
M0103,Elevate Direct,Fintech & Wealth,Fintech & Wealth,4950901.85,86.65,4.46,1.33,46.4,558,8872.58,428,53.75,59.67,MEDIUM,ACTIVE,2026-03-07
M0104,Omni Platform,EdTech,EdTech,14993846.89,98.34,0.53,0.11,76.48,2031,7382.49,1254,88.58,11.1,LOW,ACTIVE,2025-02-28
M0105,Omni Labs,Health & Wellness,Health & Wellness,4662846.12,96.14,1.03,0.34,66.14,480,9714.26,321,80.55,20.58,LOW,ACTIVE,2025-10-05
M0106,Nova Store,Travel & Hospitality,Travel & Hospitality,8419942.68,93.07,3.48,0.98,47.46,1612,5223.29,1229,64.72,43.55,MEDIUM,ACTIVE,2025-12-01
M0107,Apex Prime,Gaming & Entertainment,Gaming & Entertainment,2738533.3,87.92,2.83,0.84,45.46,740,3700.72,571,58.23,48.38,MEDIUM,ACTIVE,2024-12-16
M0108,Optima Solutions,D2C Retail,D2C Retail,372127.55,79.24,5.54,3.01,41.5,6805,54.68,5392,37.18,89.24,HIGH,UNDER_REVIEW,2025-09-05
M0109,Elevate Mart,B2B Logistics,B2B Logistics,13488060.38,96.89,0.36,0.25,83.19,10278,1312.32,6002,89.18,12.13,LOW,ACTIVE,2024-12-14
M0110,Nexus Tech,FoodTech & QSR,FoodTech & QSR,1462298.95,77.26,6.28,2.12,42.33,3471,421.29,2736,35.66,87.47,HIGH,UNDER_REVIEW,2024-11-23
M0111,Horizon Mart,E-Commerce,E-Commerce,914311.92,93.79,3.74,0.71,47.34,258,3543.84,196,65.83,41.25,MEDIUM,ACTIVE,2024-09-08
M0112,Forge Store,SaaS & Subscriptions,SaaS & Subscriptions,461139.72,77.59,5.84,1.98,34.77,26323,17.52,21746,34.05,86.2,HIGH,UNDER_REVIEW,2025-09-03
M0113,Nova Platform,Fintech & Wealth,Fintech & Wealth,164644.97,90.14,3.21,1.38,47.58,1185,138.94,903,60.42,50.17,MEDIUM,ACTIVE,2025-11-28
M0114,Nexus Dynamics,EdTech,EdTech,41359151.41,92.84,4.31,0.73,48.93,6377,6485.68,4816,64.37,44.43,MEDIUM,ACTIVE,2025-09-22
M0115,Scale Works,Health & Wellness,Health & Wellness,32237244.82,97.23,1.23,0.14,88.85,319,101057.19,177,90.87,12.37,LOW,ACTIVE,2026-03-04
M0116,Velocity Prime,Travel & Hospitality,Travel & Hospitality,747481.67,96.47,1.11,0.12,68.56,4446,168.12,2921,82.25,18.0,LOW,ACTIVE,2024-09-20
M0117,Optima Works,Gaming & Entertainment,Gaming & Entertainment,601180.94,90.59,2.52,0.93,57.25,137,4388.18,97,66.56,41.06,MEDIUM,ACTIVE,2025-02-10
M0118,Nexus Works,D2C Retail,D2C Retail,809999.69,94.78,0.31,0.45,74.99,15340,52.8,9588,82.88,18.77,LOW,ACTIVE,2025-12-14
M0119,Quantum Labs,B2B Logistics,B2B Logistics,486706.88,97.95,1.57,0.28,79.62,1292,376.71,777,87.54,15.9,LOW,ACTIVE,2025-05-31
M0120,Pulse Network,FoodTech & QSR,FoodTech & QSR,874148.04,99.39,1.7,0.43,68.85,9388,93.11,6156,84.85,18.09,LOW,ACTIVE,2025-09-24
M0121,Titan Network,E-Commerce,E-Commerce,34084171.89,71.27,9.39,4.41,30.74,18709,1821.81,15833,14.48,100.0,CRITICAL,RESTRICTED,2025-10-20
M0122,Lumina Hub,SaaS & Subscriptions,SaaS & Subscriptions,238364.43,98.61,0.56,0.09,70.09,15794,15.09,10258,86.49,12.24,LOW,ACTIVE,2026-05-27
M0123,Forge Mart,Fintech & Wealth,Fintech & Wealth,6242338.94,97.03,0.85,0.4,77.17,15994,390.29,9822,86.1,16.34,LOW,ACTIVE,2025-01-04
M0124,Zenith Systems,EdTech,EdTech,1531834.85,96.19,1.03,0.15,88.18,2274,673.63,1271,89.47,13.48,LOW,ACTIVE,2024-11-30
M0125,Sync Store,Health & Wellness,Health & Wellness,423384.64,93.11,3.14,0.99,65.85,4839,87.49,3245,72.28,37.78,MEDIUM,ACTIVE,2026-01-30
M0126,Beacon Labs,Travel & Hospitality,Travel & Hospitality,206777.99,99.45,1.33,0.16,69.32,13901,14.88,9082,86.14,14.43,LOW,ACTIVE,2024-10-25
M0127,Nexus Cloud,Gaming & Entertainment,Gaming & Entertainment,4715825.96,90.21,4.51,1.21,48.49,693,6804.94,524,59.47,53.03,MEDIUM,ACTIVE,2024-09-01
M0128,Omni Commerce,D2C Retail,D2C Retail,468451.61,83.37,5.15,2.47,44.2,23246,20.15,18108,45.33,76.68,HIGH,UNDER_REVIEW,2025-05-17
M0129,Hyper Hub,B2B Logistics,B2B Logistics,838047.01,98.76,0.4,0.38,68.95,1181,709.61,773,85.88,14.06,LOW,ACTIVE,2025-01-05
M0130,Omni Digital,FoodTech & QSR,FoodTech & QSR,14186533.14,77.48,6.03,2.73,43.52,5375,2639.36,4205,35.52,90.84,HIGH,UNDER_REVIEW,2025-03-08
M0131,Pulse Mart,E-Commerce,E-Commerce,7463560.13,90.29,2.78,0.81,49.18,28306,263.67,21345,62.95,43.48,MEDIUM,ACTIVE,2026-06-10
M0132,Swift Digital,SaaS & Subscriptions,SaaS & Subscriptions,3754541.9,96.32,1.03,0.43,69.75,3821,982.61,2488,81.99,20.13,LOW,ACTIVE,2025-08-10
M0133,Flux Pay,Fintech & Wealth,Fintech & Wealth,2319414.51,97.55,0.23,0.4,93.9,3351,692.16,1777,94.05,9.21,LOW,ACTIVE,2024-10-08
M0134,Aura Network,EdTech,EdTech,7589963.32,99.35,1.47,0.09,82.86,4340,1748.84,2541,91.17,11.13,LOW,ACTIVE,2024-09-09
M0135,Prism Works,Health & Wellness,Health & Wellness,1395455.4,91.82,4.62,1.33,55.37,202,6908.2,146,63.88,50.24,MEDIUM,ACTIVE,2025-07-03
M0136,Quantum Systems,Travel & Hospitality,Travel & Hospitality,45504762.82,84.31,5.56,3.07,45.92,2513,18107.74,1936,45.5,81.07,HIGH,UNDER_REVIEW,2025-02-06
M0137,Aura Systems,Gaming & Entertainment,Gaming & Entertainment,3943071.62,96.31,0.3,0.16,89.89,102,38657.56,56,91.24,10.39,LOW,ACTIVE,2025-09-05
M0138,Apex Systems,D2C Retail,D2C Retail,794518.95,96.31,1.17,0.42,75.74,863,920.65,536,84.12,19.05,LOW,ACTIVE,2025-05-28
M0139,Vortex Network,B2B Logistics,B2B Logistics,9783488.68,89.57,2.71,0.91,48.24,299,32720.7,226,61.52,45.35,MEDIUM,ACTIVE,2025-06-05
M0140,Elevate Digital,FoodTech & QSR,FoodTech & QSR,2213500.73,80.15,9.12,2.12,41.29,5087,435.13,4036,35.32,93.33,HIGH,UNDER_REVIEW,2026-02-26
M0141,Vortex Cloud,E-Commerce,E-Commerce,108477.97,82.57,5.8,3.13,34.38,1315,82.49,1088,38.3,87.89,HIGH,UNDER_REVIEW,2025-09-24
M0142,Zenith Prime,SaaS & Subscriptions,SaaS & Subscriptions,169963.71,93.88,3.46,1.04,46.54,10571,16.08,8111,65.35,42.98,MEDIUM,ACTIVE,2025-07-08
M0143,Zenith Store,Fintech & Wealth,Fintech & Wealth,368577.57,93.09,2.65,0.67,45.84,1879,196.16,1448,65.85,38.54,MEDIUM,ACTIVE,2026-01-21
M0144,Zenith Mart,EdTech,EdTech,3345717.56,86.52,4.19,0.91,57.06,1547,2162.71,1105,58.87,52.9,MEDIUM,ACTIVE,2025-01-24
M0145,Stellar Platform,Health & Wellness,Health & Wellness,1206833.84,97.25,0.48,0.1,91.72,35771,33.74,19366,93.08,8.68,LOW,ACTIVE,2025-03-31
M0146,Aura Mart,Travel & Hospitality,Travel & Hospitality,1017538.02,88.14,3.84,0.87,45.58,263,3868.97,203,57.17,51.8,MEDIUM,ACTIVE,2025-11-24
M0147,Stellar Tech,Gaming & Entertainment,Gaming & Entertainment,8558301.25,91.21,2.17,0.7,50.31,6507,1315.25,4870,65.64,38.8,MEDIUM,ACTIVE,2025-12-10
M0148,Forge Cart,D2C Retail,D2C Retail,113031.15,94.6,1.64,0.1,85.24,439,257.47,251,85.51,18.33,LOW,ACTIVE,2025-09-24
M0149,Nova Wave,B2B Logistics,B2B Logistics,185519.4,87.92,4.05,1.27,64.1,1180,157.22,801,62.91,51.43,MEDIUM,ACTIVE,2026-03-03
M0150,Horizon Prime,FoodTech & QSR,FoodTech & QSR,6355383.23,95.19,0.73,0.41,65.4,170,37384.61,114,79.25,21.7,LOW,ACTIVE,2025-04-10
M0151,Vertex Mart,E-Commerce,E-Commerce,363981.04,94.15,0.53,0.27,78.06,25662,14.18,15646,83.28,18.27,LOW,ACTIVE,2026-05-30
M0152,Optima Platform,SaaS & Subscriptions,SaaS & Subscriptions,16078874.79,95.98,0.67,0.18,83.3,529,30394.85,308,87.73,13.99,LOW,ACTIVE,2024-12-30
M0153,Quantum Store,Fintech & Wealth,Fintech & Wealth,4836811.7,89.23,3.59,0.89,51.77,36295,133.26,26900,61.29,47.9,MEDIUM,ACTIVE,2025-06-01
M0154,Aero Commerce,EdTech,EdTech,11506656.1,94.81,1.76,0.23,92.73,14414,798.3,7730,88.25,17.6,LOW,ACTIVE,2025-05-28
M0155,Scale Direct,Health & Wellness,Health & Wellness,1404877.62,94.13,0.68,0.25,84.64,496,2832.41,286,85.63,17.03,LOW,ACTIVE,2025-01-04
M0156,Omni Store,Travel & Hospitality,Travel & Hospitality,237748.54,98.84,1.97,0.25,70.32,543,437.84,352,84.68,18.05,LOW,ACTIVE,2025-02-01
