merchant_id,risk_score,risk_level,failure_risk_score,dispute_risk_score,volatility_risk_score,churn_risk_score,underwriting_decision,monitoring_priority,primary_risk_flag
M0022,9.69,LOW,3.03,3.82,32.26,27.51,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0023,18.72,LOW,12.12,10.47,29.36,25.78,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0024,84.67,HIGH,43.14,65.14,57.37,60.35,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0025,98.13,HIGH,70.89,63.03,64.73,62.04,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0026,11.47,LOW,13.83,4.83,14.16,9.75,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0027,13.11,LOW,4.74,6.79,31.45,21.44,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0028,14.9,LOW,8.67,6.18,29.85,31.56,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0029,13.85,LOW,7.71,6.75,23.75,22.35,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0030,15.53,LOW,14.97,8.76,15.26,11.68,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0031,100.0,HIGH,68.64,77.1,61.24,64.14,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0032,85.49,HIGH,55.5,56.13,66.32,66.6,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0033,80.27,HIGH,53.19,54.47,54.85,53.98,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0034,14.96,LOW,4.44,6.84,29.86,35.61,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0035,21.45,LOW,17.85,5.43,39.51,36.64,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0036,11.97,LOW,5.97,7.61,21.83,18.88,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0037,45.67,MEDIUM,24.3,32.45,37.3,45.14,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0038,10.36,LOW,11.61,4.5,11.3,13.55,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0039,15.42,LOW,7.02,10.21,18.9,22.73,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0040,9.19,LOW,5.43,3.55,23.65,16.18,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0041,17.25,LOW,1.41,10.49,34.2,32.64,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0042,16.93,LOW,1.17,13.37,27.49,31.36,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0043,11.6,LOW,12.48,5.42,12.48,5.64,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0044,24.01,LOW,16.32,11.3,34.54,36.02,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0045,46.88,MEDIUM,24.45,31.47,47.96,42.47,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0046,16.18,LOW,3.9,12.84,20.56,19.88,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0047,13.19,LOW,6.69,10.89,13.26,14.43,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0048,17.98,LOW,16.35,6.06,21.64,19.09,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0049,7.42,LOW,7.71,1.6,21.45,17.55,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0050,45.12,MEDIUM,29.61,27.09,46.16,39.48,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0051,13.92,LOW,8.76,8.74,17.6,17.84,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0052,49.2,MEDIUM,34.35,28.0,49.43,46.24,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0053,89.17,HIGH,43.41,71.58,54.47,63.56,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0054,17.26,LOW,13.65,9.31,21.85,17.49,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0055,44.59,MEDIUM,24.51,28.8,41.37,50.47,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0056,12.16,LOW,4.8,1.88,37.22,37.3,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0057,40.13,MEDIUM,25.32,22.29,40.0,39.59,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0058,88.18,HIGH,59.1,61.16,52.18,52.17,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0059,14.21,LOW,7.11,9.68,22.5,14.21,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0060,7.9,LOW,6.81,4.37,19.08,14.46,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0061,41.33,MEDIUM,26.76,26.91,33.93,34.96,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0062,11.42,LOW,2.25,3.08,34.94,32.58,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0063,74.42,HIGH,51.72,48.42,53.16,52.5,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0064,14.43,LOW,13.11,5.68,20.09,16.25,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0065,8.23,LOW,4.02,4.39,22.18,12.08,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0066,17.37,LOW,10.83,8.11,25.64,22.55,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0067,52.97,MEDIUM,31.83,32.75,48.43,48.11,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0068,13.56,LOW,3.63,8.43,25.97,25.45,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0069,15.72,LOW,16.41,8.62,17.45,10.07,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0070,82.25,HIGH,58.68,53.16,55.96,60.33,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0071,13.54,LOW,4.26,4.38,37.18,34.98,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0072,100.0,CRITICAL,71.37,88.32,72.97,76.05,MANUAL_INTERVENTION_REQUIRED,IMMEDIATE_TERMINATION_OR_REMEDY,Critical Fraud / Chargeback Threshold Breach
M0073,20.08,LOW,16.23,5.42,39.97,31.54,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0074,18.89,LOW,16.59,6.86,33.64,21.55,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0075,16.22,LOW,1.53,12.95,24.96,27.45,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0076,92.77,HIGH,55.41,67.58,60.69,66.15,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0077,14.37,LOW,9.84,2.19,37.6,28.46,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0078,18.66,LOW,7.86,10.85,29.61,25.03,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0079,13.32,LOW,1.23,6.27,37.07,31.23,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0080,4.83,LOW,0.72,4.61,18.07,6.41,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0081,13.05,LOW,5.88,8.07,25.61,16.87,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0082,21.66,LOW,13.11,13.39,31.35,22.01,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0083,100.0,CRITICAL,86.04,96.64,69.24,65.55,MANUAL_INTERVENTION_REQUIRED,IMMEDIATE_TERMINATION_OR_REMEDY,Critical Fraud / Chargeback Threshold Breach
M0084,43.09,MEDIUM,18.63,29.72,47.41,46.15,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0085,100.0,HIGH,67.17,75.75,47.86,47.68,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0086,55.95,MEDIUM,32.1,36.15,50.43,49.06,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0087,13.66,LOW,3.9,9.87,20.1,20.81,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0088,45.01,MEDIUM,22.05,30.66,42.62,49.82,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0089,92.08,HIGH,46.32,77.37,54.83,49.49,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0090,13.13,LOW,1.56,9.35,24.84,26.88,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0091,12.3,LOW,7.44,6.46,23.5,23.04,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0092,14.66,LOW,6.3,9.33,26.36,17.7,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0093,49.86,MEDIUM,28.71,30.43,56.5,52.4,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0094,17.32,LOW,7.2,7.94,29.78,31.29,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0095,10.48,LOW,7.74,6.62,16.44,12.62,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0096,9.75,LOW,4.35,7.57,19.63,12.57,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0097,10.99,LOW,1.89,6.46,24.78,24.77,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0098,19.95,LOW,12.27,7.47,34.09,32.7,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0099,19.0,LOW,15.36,5.62,31.21,29.64,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0100,46.97,MEDIUM,30.78,25.47,53.9,47.33,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0101,16.68,LOW,13.14,3.06,31.86,29.81,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0102,100.0,CRITICAL,82.35,100.0,73.23,74.85,MANUAL_INTERVENTION_REQUIRED,IMMEDIATE_TERMINATION_OR_REMEDY,Critical Fraud / Chargeback Threshold Breach
M0103,59.67,MEDIUM,40.05,36.03,57.05,50.61,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0104,11.1,LOW,4.98,3.71,29.05,25.05,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0105,20.58,LOW,11.58,8.71,39.76,36.06,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0106,43.55,MEDIUM,20.79,27.42,55.59,54.71,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0107,48.38,MEDIUM,36.24,22.81,52.91,52.94,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0108,89.24,HIGH,62.28,61.05,60.22,60.95,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0109,12.13,LOW,9.33,4.62,19.54,15.83,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0110,87.47,HIGH,68.22,53.7,52.91,54.99,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0111,41.25,MEDIUM,18.63,25.35,49.54,51.84,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0112,86.2,HIGH,67.23,50.04,64.07,60.6,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0113,50.17,MEDIUM,29.58,31.0,49.2,56.67,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0114,44.43,MEDIUM,21.48,28.16,52.01,49.2,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0115,12.37,LOW,8.31,7.21,15.88,19.63,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0116,18.0,LOW,10.59,6.44,39.95,33.59,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0117,41.06,MEDIUM,28.23,22.5,42.6,38.8,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0118,18.77,LOW,15.66,6.79,35.0,31.65,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0119,15.9,LOW,6.15,10.43,28.3,21.64,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0120,18.09,LOW,1.83,12.81,36.62,33.25,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0121,100.0,CRITICAL,86.19,95.18,63.7,70.65,MANUAL_INTERVENTION_REQUIRED,IMMEDIATE_TERMINATION_OR_REMEDY,Critical Fraud / Chargeback Threshold Breach
M0122,12.24,LOW,4.17,3.6,36.31,36.72,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0123,16.34,LOW,8.91,8.62,29.48,22.72,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0124,13.48,LOW,11.43,6.43,16.1,17.04,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0125,37.78,MEDIUM,20.67,26.01,33.35,33.89,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0126,14.43,LOW,1.65,7.91,38.29,37.37,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0127,53.03,MEDIUM,29.37,34.81,50.88,46.53,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0128,76.68,HIGH,49.89,52.81,57.93,54.19,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0129,14.06,LOW,3.72,6.36,30.35,29.91,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0130,90.84,HIGH,67.56,59.89,52.32,53.3,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0131,43.48,MEDIUM,29.13,22.23,55.43,52.81,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0132,20.13,LOW,11.04,9.79,37.28,30.5,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0133,9.21,LOW,7.35,5.84,17.13,13.19,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0134,11.13,LOW,1.95,7.7,19.84,17.96,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0135,50.24,MEDIUM,24.54,36.75,41.61,41.46,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0136,81.07,HIGH,47.07,61.86,57.86,50.72,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0137,10.39,LOW,11.07,3.27,15.12,17.17,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0138,19.05,LOW,11.07,10.3,32.13,30.21,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0139,45.35,MEDIUM,31.29,23.12,46.56,54.7,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0140,93.33,HIGH,59.55,66.48,57.14,57.84,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0141,87.89,HIGH,52.29,63.66,64.86,64.08,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0142,42.98,MEDIUM,18.36,28.05,52.86,56.55,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0143,38.54,MEDIUM,20.73,19.96,50.05,52.74,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0144,52.9,MEDIUM,40.44,29.77,47.29,46.05,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0145,8.68,LOW,8.25,3.36,19.96,17.12,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0146,51.8,MEDIUM,35.58,27.72,49.7,49.3,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0147,38.8,MEDIUM,26.37,18.16,45.31,45.73,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0148,18.33,LOW,16.2,8.58,18.81,15.13,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0149,51.43,MEDIUM,36.24,33.46,41.07,34.47,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0150,21.7,LOW,14.43,8.21,36.12,38.23,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0151,18.27,LOW,17.55,5.62,26.92,20.78,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0152,13.99,LOW,12.06,5.18,25.41,23.41,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0153,47.9,MEDIUM,32.31,26.84,53.26,52.52,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0154,17.6,LOW,15.57,10.68,15.03,11.94,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0155,17.03,LOW,17.61,6.06,25.54,17.41,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0156,18.05,LOW,3.48,11.87,33.46,34.14,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0157,11.27,LOW,2.1,5.08,27.86,26.84,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0158,37.53,MEDIUM,22.35,18.09,56.02,47.27,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0159,18.16,LOW,7.62,9.48,36.27,33.19,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0160,45.82,MEDIUM,32.91,22.23,49.54,51.28,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0161,14.02,LOW,7.5,5.16,27.35,31.29,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0162,47.56,MEDIUM,34.95,27.5,42.63,45.41,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0163,42.33,MEDIUM,36.9,18.69,43.34,45.46,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0164,17.34,LOW,7.62,7.8,31.86,29.99,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0165,18.25,LOW,9.39,9.0,31.16,32.16,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0166,13.48,LOW,5.91,6.34,31.34,29.65,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0167,100.0,HIGH,67.95,68.88,57.16,62.32,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0168,14.19,LOW,5.25,11.02,23.9,20.97,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0169,44.09,MEDIUM,30.39,28.83,39.55,35.08,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0170,35.66,MEDIUM,20.07,23.77,40.9,37.33,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0171,17.88,LOW,12.84,13.65,17.48,10.1,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0172,44.89,MEDIUM,21.99,28.32,56.79,50.31,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0173,17.81,LOW,15.9,5.37,25.92,22.88,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0174,19.51,LOW,12.51,9.59,30.28,25.64,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0175,36.16,MEDIUM,27.39,18.52,36.17,32.47,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0176,48.74,MEDIUM,29.46,35.52,34.52,29.85,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0177,13.52,LOW,11.01,8.25,19.87,8.34,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0178,100.0,CRITICAL,81.24,100.0,68.22,73.14,MANUAL_INTERVENTION_REQUIRED,IMMEDIATE_TERMINATION_OR_REMEDY,Critical Fraud / Chargeback Threshold Breach
M0179,46.93,MEDIUM,35.19,21.57,53.86,49.72,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0180,90.62,HIGH,59.31,62.21,60.5,67.08,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0181,16.17,LOW,16.44,9.07,12.94,10.62,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0182,16.88,LOW,15.09,10.35,15.97,7.04,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0183,14.55,LOW,9.09,3.99,37.14,32.4,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0184,44.38,MEDIUM,33.69,26.61,38.52,33.58,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0185,16.82,LOW,14.97,8.29,18.05,14.98,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0186,15.31,LOW,14.1,5.7,27.12,22.27,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0187,34.07,MEDIUM,21.21,20.13,42.08,40.5,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0188,16.93,LOW,3.9,9.33,37.29,36.86,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0189,52.98,MEDIUM,35.85,29.62,55.56,53.66,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0190,99.58,HIGH,69.75,67.81,54.51,55.2,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0191,94.63,HIGH,61.68,65.75,58.82,60.73,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0192,48.52,MEDIUM,26.4,35.16,42.13,37.73,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0193,17.92,LOW,6.18,9.98,31.31,29.56,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0194,21.45,LOW,17.49,8.56,25.52,26.63,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0195,90.3,HIGH,47.7,67.65,61.93,62.59,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0196,10.03,LOW,0.93,7.59,25.24,20.19,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0197,96.39,HIGH,68.82,66.93,50.58,51.72,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0198,38.8,MEDIUM,19.92,26.79,39.17,45.17,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0199,40.51,MEDIUM,25.23,22.5,45.04,48.19,APPROVE_WITH_MONITORING,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0200,100.0,CRITICAL,71.7,100.0,68.66,67.85,MANUAL_INTERVENTION_REQUIRED,IMMEDIATE_TERMINATION_OR_REMEDY,Critical Fraud / Chargeback Threshold Breach
M0201,15.87,LOW,17.58,3.0,30.0,21.37,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0202,16.58,LOW,10.23,8.5,26.04,25.69,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0203,84.33,HIGH,48.39,59.1,61.67,65.65,ENHANCED_DUE_DILIGENCE,HIGH_PRIORITY_AUDIT,Severe Decline / Dispute Concentration
M0204,50.49,MEDIUM,35.52,28.7,50.98,48.81,MONITOR_CLOSELY,ELEVATED_WATCH,Moderate Settlement / Return Volatility
M0205,8.91,LOW,6.9,5.82,15.21,4.61,APPROVE,STANDARD_MONITORING,Healthy Operational Flow
M0206,100.0,CRITICAL,85.17,82.8,65.93,63.17,MANUAL_INTERVENTION_REQUIRED,IMMEDIATE_TERMINATION_OR_REMEDY,Critical Fraud / Chargeback Threshold Breach
