merchant_id,historical_monthly_revenue,growth_trend_pct,forecast_m1_revenue,forecast_m1_lower,forecast_m1_upper,forecast_m2_revenue,forecast_m2_lower,forecast_m2_upper,forecast_m3_revenue,forecast_m3_lower,forecast_m3_upper,forecast_confidence_pct
M0094,909727.99,10.47,1005000.03,917364.03,1140876.03,1115511.99,970941.64,1341737.82,1244017.23,1030046.27,1580399.49,89.2
M0095,73628.18,16.79,85988.91,78444.24,97583.65,101146.56,87965.14,121604.46,119825.14,99107.37,152139.58,93.3
M0096,203264.23,16.36,236526.31,216575.32,268954.07,277166.63,242299.07,334165.95,327057.61,272357.22,416736.81,94.7
M0097,20785.75,14.22,23741.23,21797.06,27035.09,27285.74,23942.69,32964.18,31553.42,26405.48,40308.86,93.7
M0098,177983.69,8.97,193940.18,176045.32,219505.37,212196.53,183261.41,254154.15,233122.61,191055.64,294583.05,92.7
M0099,18467.61,11.05,20507.91,18552.28,23169.02,22886.92,19671.77,27341.63,25668.33,20904.29,32329.78,90.4
M0100,2193935.08,-1.47,2161773.06,1922291.84,2420061.71,2128497.99,1785724.67,2509967.4,2094174.97,1651675.8,2594599.02,87.9
M0101,23810.55,9.01,25955.62,23538.11,29362.04,28410.85,24503.79,34003.81,31226.31,25546.24,39422.59,89.7
M0102,30040.51,-20.26,23954.95,20065.86,25993.52,18859.56,14525.63,21266.98,14656.97,10300.19,17151.59,73.7
M0103,412575.15,-5.44,390123.74,343289.39,434324.76,367832.6,304050.43,430345.75,345814.32,267400.92,424175.84,84.5
M0104,1249487.24,14.61,1432030.71,1310336.74,1627760.67,1651703.42,1442531.7,1990335.66,1917139.05,1594484.55,2441208.18,91.6
M0105,388570.51,7.03,415895.84,377808.1,470910.54,446605.11,386116.91,535220.5,481152.24,394881.64,608445.88,90.0
M0106,701661.89,-1.97,687867.81,618537.61,774635.46,673668.76,574154.41,801133.63,659100.62,530806.68,825378.52,85.4
M0107,228211.11,-4.24,218531.92,193129.77,243846.66,208799.83,173654.64,245080.89,199058.35,155185.89,245176.19,86.0
M0108,31010.63,-10.59,27726.13,23781.26,30456.6,24642.68,19639.23,28282.9,21771.64,16028.28,26059.78,80.5
M0109,1124005.03,15.72,1300653.65,1184466.26,1474655.1,1515284.9,1314600.57,1819357.12,1777241.27,1465246.57,2252759.94,93.1
M0110,121858.25,-8.58,111403.25,94891.06,121933.09,101367.36,79982.9,115739.22,91800.72,66674.86,109154.73,81.5
M0111,76192.66,-1.04,75400.01,67963.31,85019.54,74576.38,63774.74,88848.06,73722.96,59638.19,92534.11,85.7
M0112,38428.31,-13.71,33161.35,28279.0,36317.65,28389.03,22437.55,32442.13,24108.95,17550.11,28698.33,78.2
M0113,13720.41,-3.29,13269.43,11815.37,14865.48,12811.46,10768.8,15122.9,12348.24,9763.75,15318.73,85.5
M0114,3446595.95,1.28,3490817.48,3136569.32,3929543.42,3537845.84,3011980.43,4204800.54,3587777.38,2885290.57,4489601.1,86.1
M0115,2686437.07,16.82,3138303.39,2861159.82,3560279.66,3692568.48,3208546.6,4437322.62,4375779.0,3615049.82,5552513.49,91.9
M0116,62290.14,8.54,67609.32,61484.59,76597.3,73671.39,63790.58,88362.2,80591.56,66274.47,102019.24,92.3
M0117,50098.41,2.25,51227.5,45683.15,57435.25,52439.76,44173.16,61971.74,53739.8,42612.97,66764.18,85.0
M0118,67499.97,9.1,73641.77,66597.2,83182.8,80677.44,69311.6,96356.29,88752.33,72235.52,111749.83,91.6
M0119,40558.91,11.85,45366.02,41457.74,51531.26,51011.72,44472.02,61410.46,57662.32,47845.31,73334.94,91.1
M0120,72845.67,11.79,81435.48,74771.61,92737.1,91518.32,80312.82,110569.69,103389.14,86531.54,132085.83,92.8
M0121,2840347.66,-20.28,2264214.52,1887924.71,2451102.79,1781980.08,1363357.32,2002607.03,1384379.61,964012.74,1612913.0,74.0
M0122,19863.7,11.9,22228.12,20357.18,25278.26,25006.27,21866.48,30153.31,28280.47,23559.05,36041.76,92.3
M0123,520194.91,11.56,580316.07,528720.17,658113.24,650739.17,564919.69,781596.31,733468.76,605221.75,930126.4,89.9
M0124,127652.9,16.74,149025.11,135399.74,168753.05,175223.06,151525.89,210017.1,207493.33,170341.65,262429.26,92.1
M0125,35282.05,5.13,37090.93,33356.99,41772.55,39087.62,33319.85,46488.08,41292.0,33262.77,51715.75,88.6
M0126,17231.5,9.63,18890.52,17348.11,21514.41,20800.2,18258.42,25133.92,23003.06,19259.31,29393.31,90.4
M0127,392985.5,-2.73,382260.5,340452.67,428292.31,371306.58,312209.42,438375.69,360159.88,284904.47,446900.79,87.4
M0128,39037.63,-6.29,36581.07,31829.55,40485.73,34164.0,27791.73,39634.0,31799.14,24067.18,38587.62,84.2
M0129,69837.25,10.33,77049.12,70598.57,87644.91,85403.56,74731.53,103020.61,95104.84,79298.42,121262.48,89.9
M0130,1182211.09,-7.9,1088861.81,928189.36,1192260.13,998584.62,788801.96,1140823.01,911849.79,663279.54,1085028.3,78.8
M0131,621963.34,-1.89,610197.33,543606.5,683774.92,598076.73,503078.22,706250.87,585631.18,463497.8,726862.0,86.6
M0132,312878.49,9.39,342254.14,311095.32,387650.73,375994.51,325340.53,450802.38,414826.17,340821.18,524871.26,89.4
M0133,193284.54,19.2,230404.11,210278.31,261531.71,276864.77,240927.72,332971.42,335352.7,277588.2,425965.0,91.7
M0134,632496.94,15.27,729093.0,669343.83,830218.2,846008.79,742288.11,1022020.92,988133.15,826820.41,1262241.29,92.0
M0135,116287.95,2.21,118858.46,106433.0,133554.12,121617.16,103043.79,144172.28,124574.31,99547.33,155379.05,86.9
M0136,3792063.57,-7.61,3503371.99,3058198.51,3883908.26,3223322.97,2634228.46,3748498.98,2953390.57,2249154.59,3594985.14,80.1
M0137,328589.3,18.05,387888.43,352563.43,439330.19,461389.05,399212.26,553173.17,552980.49,454301.12,699653.04,95.1
M0138,66209.91,11.81,74029.8,67287.91,83847.63,83210.45,71997.01,99763.5,94021.01,77242.96,118959.14,93.8
M0139,815290.72,-1.85,800217.41,711161.21,895555.31,784683.05,657784.11,924913.76,768724.88,605639.9,951896.64,84.3
M0140,184458.39,-8.2,169331.52,145701.31,186315.47,154750.84,123893.52,178033.1,140791.13,104291.03,169033.83,80.6
M0141,9039.83,-12.35,7923.72,6875.49,8756.82,6896.49,5588.09,7984.14,5959.86,4486.88,7213.1,79.9
M0142,14163.64,0.13,14181.85,12786.92,15993.72,14200.99,12149.23,16922.47,14221.07,11510.53,17854.84,86.1
M0143,30714.8,1.33,31123.87,27988.76,35051.08,31559.11,26899.72,37532.3,32021.46,25791.68,40102.4,89.1
M0144,278809.8,-0.37,277764.62,244310.65,309163.13,276671.29,228552.62,323583.67,275530.41,212874.79,337822.33,82.9
M0145,100569.49,18.52,119193.49,108674.66,135225.01,142370.04,123719.56,171093.2,171371.39,141595.61,217470.29,91.4
M0146,84794.84,-1.42,83587.08,73926.09,93306.59,82337.0,68550.49,96698.22,81046.98,63273.38,99895.27,84.8
M0147,713191.77,0.62,717594.25,641263.75,805442.14,722245.39,610181.8,854871.31,727149.6,578847.44,905184.91,86.2
M0148,9419.26,14.83,10816.03,9775.53,12213.46,12500.12,10730.1,14922.64,14539.11,11820.3,18296.02,93.3
M0149,15459.95,4.39,16138.04,14262.15,18007.47,16881.26,14039.81,19814.55,17695.73,13795.59,21795.48,87.9
M0150,529615.27,8.56,574957.44,520664.21,649920.39,626642.71,539388.98,749195.22,685656.63,559461.53,864448.45,88.7
M0151,30331.75,9.6,33244.5,30001.5,37509.77,36596.58,31348.63,43639.59,40462.38,32804.87,50845.03,91.1
M0152,1339906.23,14.31,1531696.94,1390688.92,1733819.67,1761902.22,1522142.57,2110653.15,2039315.75,1672034.98,2577531.96,91.5
M0153,403067.64,0.73,406013.02,360413.7,454109.32,409128.27,342407.63,481826.27,412416.91,324221.55,510126.72,85.3
M0154,958888.01,16.86,1120565.72,1013473.25,1265813.45,1318950.75,1133295.24,1575394.34,1563577.26,1272830.07,1968919.03,93.8
M0155,117073.14,12.56,131779.46,118916.47,148681.49,149160.83,127759.23,177857.88,169771.61,137625.36,213321.42,92.8
M0156,19812.38,12.22,22233.87,20377.79,25295.03,25087.19,21960.32,30268.2,28460.0,23741.33,36296.75,90.9
M0157,9342.32,11.81,10445.77,9588.17,11893.55,11741.25,10299.42,14182.26,13266.73,11097.62,16944.27,90.5
M0158,477510.41,2.21,488063.42,438110.13,549120.15,499388.97,424580.5,593099.31,511529.16,410630.03,639513.76,88.7
M0159,1902925.83,10.17,2096375.5,1912691.08,2379218.48,2320146.87,2018156.55,2789698.19,2579597.25,2134100.8,3275675.77,90.6
M0160,112478.07,-1.55,110732.41,98229.61,123805.48,108927.92,91076.81,128217.97,107068.31,84064.68,132349.28,83.7
M0161,13940.87,9.86,15315.32,13975.23,17382.89,16900.78,14703.68,20323.19,18733.68,15502.12,23791.77,94.0
M0162,726945.89,3.44,751930.15,665495.78,839680.4,779065.24,649272.97,915440.61,808518.33,632059.2,997226.51,88.6
M0163,790694.78,2.59,811145.83,716322.88,904752.06,833174.84,692201.66,977397.4,856879.6,667080.77,1054647.41,87.1
M0164,182178.18,9.47,199432.39,181958.12,226339.81,219265.17,190725.62,263640.06,242108.58,200296.43,307439.16,90.8
M0165,769446.39,9.73,844340.69,768865.08,957262.81,930634.07,807306.44,1117328.57,1030275.99,849308.01,1305854.21,93.0
M0166,1197893.57,10.56,1324379.71,1210602.25,1504574.81,1471213.68,1283074.87,1771473.68,1642094.44,1363184.7,2088941.18,92.1
M0167,2492416.28,-14.38,2133899.14,1818188.76,2335979.39,1811604.91,1430080.92,2068943.39,1524959.16,1108264.07,1813786.42,78.1
M0168,1891791.98,14.91,2173908.35,1988582.66,2470646.84,2514305.12,2194988.37,3029109.09,2926749.67,2432860.66,3725752.33,94.4
M0169,39324.68,3.64,40755.27,36256.3,45635.31,42312.04,35520.11,49911.71,44005.23,34735.53,54543.6,86.5
M0170,668567.07,5.59,705957.81,635312.61,795346.19,747413.79,637723.34,889370.09,793394.21,639912.1,994313.36,89.4
M0171,635528.65,17.08,744068.18,674988.89,841868.5,877498.58,757175.97,1050506.2,1042349.69,853267.46,1316362.58,94.9
M0172,1767852.44,-2.6,1721903.28,1546286.36,1937726.64,1674910.66,1424813.0,1989810.61,1627023.85,1307069.61,2034886.19,85.9
M0173,34802.12,9.07,37958.18,34317.99,42869.97,41572.56,35702.51,49641.79,45719.61,37192.9,57551.85,91.8
M0174,12508.74,10.22,13786.68,12511.27,15601.83,15265.6,13179.1,18280.4,16981.15,13910.11,21452.63,89.0
M0175,2051380.02,5.63,2166809.36,1934115.7,2430596.73,2294830.03,1935643.23,2713888.94,2436870.9,1935728.4,3030200.23,89.9
M0176,1912547.95,6.01,2027562.81,1805625.78,2271600.27,2155590.89,1812248.37,2544761.27,2298184.69,1817634.27,2851403.71,88.7
M0177,980475.92,16.42,1141483.81,1037597.37,1292913.05,1338303.83,1158061.07,1604612.91,1580048.9,1298247.18,1999267.47,90.8
M0178,987110.23,-19.28,796782.29,668309.11,865178.08,635470.59,490379.94,717293.78,500690.72,352786.68,586649.3,75.8
M0179,75497.63,-2.83,73362.08,64911.5,81911.7,71183.18,59301.28,83626.71,68968.32,53888.4,85043.46,82.8
M0180,3860573.78,-11.73,3407601.63,2932888.65,3749929.29,2987786.81,2392978.21,3438016.4,2602164.69,1928594.36,3124991.62,81.8
M0181,1104435.51,17.01,1292246.31,1167622.08,1458997.77,1522982.01,1306840.4,1817770.41,1807865.74,1469071.7,2274439.73,94.0
M0182,377048.91,17.01,441185.14,399232.85,498512.74,519983.26,447123.21,621333.2,617277.64,502988.68,777695.75,92.2
M0183,363983.87,10.12,400824.87,365115.38,454511.35,443423.27,384838.19,532511.44,492792.97,406480.28,624802.35,92.5
M0184,1058994.89,4.36,1105171.77,979524.79,1235073.66,1155771.69,965161.82,1359545.8,1211208.15,949405.51,1495938.96,88.6
M0185,4036873.35,14.82,4635189.02,4194985.12,5237856.3,5356532.31,4606832.05,6401216.81,6229828.7,5077621.88,7849833.36,91.1
M0186,1326563.02,12.02,1486031.47,1346195.91,1680107.18,1673601.83,1441305.9,2001460.43,1894907.08,1547191.63,2389856.81,91.4
M0187,14714.28,6.25,15634.12,14051.79,17601.83,16660.33,14189.94,19805.63,17805.98,14327.58,22288.1,86.8
M0188,1768786.17,10.74,1958729.3,1794391.91,2227858.71,2179586.72,1906702.46,2628799.54,2437049.89,2031281.08,3106751.2,92.7
M0189,84468.32,-3.76,81291.97,71874.3,90729.97,78082.22,64980.02,91680.24,74852.39,58403.58,92233.11,86.7
M0190,581987.51,-10.82,519018.3,441295.31,567546.51,460054.36,362062.78,524576.98,405300.29,293336.08,481091.44,78.8
M0191,1401547.9,-13.02,1219072.68,1046354.46,1339614.59,1052419.02,839577.8,1208513.81,901696.78,664730.87,1080016.34,78.2
M0192,1183171.41,2.36,1211067.07,1082209.53,1359301.68,1241048.09,1048437.43,1468904.52,1273234.33,1013494.53,1584922.09,86.7
M0193,635730.88,11.1,706302.16,645433.04,802274.5,788627.69,687494.08,949365.79,884926.17,734223.24,1125413.71,90.3
M0194,1878876.71,11.98,2103918.18,1898807.2,2373935.04,2368513.66,2029058.28,2824476.22,2680569.89,2173540.1,3368618.57,90.0
M0195,22631.06,-9.54,20471.69,17857.46,22686.73,18420.69,15038.65,21410.37,16487.29,12538.58,20055.14,77.8
M0196,385377.19,16.16,447670.58,411440.6,510066.91,523651.37,460163.88,633131.16,616760.21,517122.6,788688.29,95.2
M0197,1060713.47,-8.99,965334.64,821673.54,1056191.94,874192.11,689073.19,997610.55,787724.5,571336.58,936005.76,79.5
M0198,424860.41,5.04,446279.58,401687.32,502832.13,469903.54,401034.48,559222.8,495962.54,400142.58,621659.29,89.5
M0199,54089.18,1.49,54895.72,49119.04,61657.77,55755.22,47188.99,66057.11,56669.75,45219.63,70630.91,88.6
M0200,11073.25,-18.05,9074.83,7698.18,9911.53,7355.18,5769.4,8372.4,5895.03,4247.37,6982.07,75.1
M0201,927573.59,11.88,1037768.94,936503.45,1170893.94,1167219.77,999793.77,1391816.2,1319751.5,1069922.54,1658346.94,89.4
M0202,582119.94,12.27,653544.97,594575.61,740584.09,737743.15,639151.16,885122.1,837314.82,689068.23,1060342.0,90.0
M0203,23037.46,-10.49,20621.5,17973.91,22843.26,18350.78,14964.69,21316.45,16233.88,12327.2,19731.96,78.0
M0204,486771.22,-0.6,483865.74,427969.57,540149.0,480833.2,400360.96,564728.98,477676.17,372969.55,588802.75,86.8
M0205,113148.86,20.4,136231.28,124392.78,154677.0,165412.08,144040.84,199007.27,202530.63,167796.63,257375.92,92.9
M0206,2157573.93,-19.12,1745002.53,1456780.46,1890221.64,1394639.08,1068907.18,1568731.88,1101287.83,768753.97,1284586.18,75.5
M0207,1793476.72,15.54,2072122.56,1886087.4,2348709.48,2410157.47,2089510.12,2892719.2,2822060.44,2324531.18,3575437.7,90.8
M0208,1003491.48,12.09,1124771.49,1031078.02,1279765.0,1267506.06,1109828.31,1529499.56,1436013.19,1198353.01,1831778.43,93.7
M0209,2547765.62,8.38,2761394.77,2520435.46,3134624.89,3004513.72,2614888.38,3613648.83,3281633.74,2716864.57,4168724.97,91.3
M0210,590389.87,10.36,651544.86,592580.05,738200.33,722409.02,625606.21,866529.62,804722.1,661883.93,1018778.18,93.1
M0211,44342.88,9.73,48657.51,44564.93,55336.24,53628.68,46899.35,64670.29,59368.65,49462.99,75666.53,90.6
