customer_id,signup_date
C000280,2024-10-01
C000281,2025-09-04
C000282,2024-02-13
C000283,2024-01-17
C000284,2024-11-25
C000285,2025-07-22
C000286,2025-05-11
C000287,2024-01-12
C000288,2024-11-13
C000289,2025-08-14
C000290,2024-08-03
C000291,2024-12-04
C000292,2025-10-22
C000293,2024-03-21
C000294,2025-12-27
C000295,2025-04-29
C000296,2025-01-08
C000297,2025-12-10
C000298,2024-07-18
C000299,2025-06-20
C000300,2025-04-10
C000301,2024-03-29
C000302,2024-09-24
C000303,2025-10-16
C000304,2025-07-24
C000305,2025-05-03
C000306,2025-06-21
C000307,2024-02-16
C000308,2024-10-14
C000309,2024-01-16
C000310,2025-12-11
C000311,2025-02-04
C000312,2024-03-26
C000313,2024-09-06
C000314,2025-01-25
C000315,2024-11-30
C000316,2025-09-20
C000317,2025-06-02
C000318,2024-05-16
C000319,2025-11-18
C000320,2025-05-12
C000321,2025-12-27
C000322,2025-04-21
C000323,2025-08-16
C000324,2024-08-10
C000325,2025-01-06
C000326,2025-02-05
C000327,2025-03-18
C000328,2025-05-04
C000329,2025-09-06
C000330,2024-09-29
C000331,2025-06-09
C000332,2024-06-07
C000333,2024-05-31
C000334,2025-09-11
C000335,2024-07-06
C000336,2024-04-07
C000337,2024-05-10
C000338,2024-06-19
C000339,2024-07-01
C000340,2024-12-29
C000341,2024-02-08
C000342,2025-06-10
C000343,2025-05-11
C000344,2025-05-30
C000345,2024-12-14
C000346,2025-01-31
C000347,2025-12-22
C000348,2024-06-09
C000349,2024-01-16
C000350,2025-05-07
C000351,2025-03-01
C000352,2024-04-17
C000353,2025-03-25
C000354,2024-11-06
C000355,2024-06-18
C000356,2025-06-29
C000357,2025-02-17
C000358,2024-09-07
C000359,2024-05-20
C000360,2024-09-30
C000361,2025-02-19
C000362,2025-08-30
C000363,2024-02-08
C000364,2024-01-29
C000365,2025-04-21
C000366,2024-11-13
C000367,2024-09-01
C000368,2025-11-27
C000369,2024-09-28
C000370,2025-03-15
C000371,2024-08-26
C000372,2025-01-11
C000373,2024-09-22
C000374,2024-12-24
C000375,2024-12-05
C000376,2025-01-23
C000377,2025-07-30
C000378,2025-11-19
C000379,2024-01-03
C000380,2025-03-04
C000381,2024-05-21
C000382,2025-01-10
C000383,2025-10-31
C000384,2024-11-19
C000385,2024-05-25
C000386,2024-10-19
C000387,2025-10-26
C000388,2025-03-07
C000389,2025-12-05
C000390,2025-08-07
C000391,2025-02-02
C000392,2024-12-09
C000393,2024-05-19
C000394,2024-07-05
C000395,2024-03-01
C000396,2025-01-14
C000397,2025-12-10
C000398,2025-03-15
C000399,2024-11-14
C000400,2024-10-28
C000401,2024-12-09
C000402,2024-01-11
C000403,2024-03-02
C000404,2024-08-13
C000405,2024-06-01
C000406,2025-12-11
C000407,2025-07-17
C000408,2025-07-24
C000409,2025-08-06
C000410,2025-10-21
C000411,2025-07-28
C000412,2024-11-05
C000413,2024-08-30
C000414,2025-05-07
C000415,2024-12-31
C000416,2024-11-25
C000417,2024-04-16
C000418,2024-08-13
C000419,2024-08-05
C000420,2025-05-20
C000421,2024-09-15
C000422,2025-05-31
C000423,2024-02-23
C000424,2024-02-16
C000425,2025-12-27
C000426,2025-11-19
C000427,2025-06-04
C000428,2024-04-08
C000429,2024-01-20
C000430,2025-07-26
C000431,2025-05-04
C000432,2025-02-22
C000433,2025-11-20
C000434,2024-03-02
C000435,2024-05-24
C000436,2024-08-03
C000437,2024-01-03
C000438,2024-06-08
C000439,2024-04-29
C000440,2024-03-29
C000441,2024-11-24
C000442,2025-08-02
C000443,2024-12-22
C000444,2025-09-01
C000445,2024-09-23
C000446,2025-09-08
C000447,2024-11-18
C000448,2025-09-26
C000449,2025-06-24
C000450,2025-10-10
C000451,2024-07-13
C000452,2024-11-27
C000453,2024-06-18
C000454,2025-06-04
C000455,2025-04-07
C000456,2024-02-09
C000457,2025-06-20
C000458,2024-09-17
C000459,2025-01-29
C000460,2024-08-13
C000461,2024-05-03
C000462,2024-02-07
C000463,2024-11-23
C000464,2024-09-07
C000465,2024-06-24
C000466,2025-08-24
C000467,2025-03-29
C000468,2024-02-06
C000469,2024-11-11
C000470,2025-11-18
C000471,2025-08-15
C000472,2024-04-23
C000473,2024-02-09
C000474,2024-10-27
C000475,2024-08-11
C000476,2024-11-13
C000477,2024-12-14
C000478,2024-04-24
C000479,2025-11-28
C000480,2024-11-18
C000481,2025-07-21
C000482,2024-02-09
C000483,2024-02-09
C000484,2024-10-15
C000485,2024-09-18
C000486,2024-08-03
C000487,2024-05-26
C000488,2024-12-01
C000489,2024-06-16
C000490,2024-04-01
C000491,2024-12-18
C000492,2025-07-24
C000493,2025-07-24
C000494,2025-11-11
C000495,2024-12-28
C000496,2025-07-10
C000497,2024-12-10
C000498,2025-11-23
C000499,2024-06-18
C000500,2024-12-21
C000501,2024-07-09
C000502,2025-10-28
C000503,2025-02-25
C000504,2025-11-30
C000505,2024-01-07
C000506,2024-05-12
C000507,2025-07-10
C000508,2024-01-31
C000509,2025-06-18
C000510,2025-03-01
C000511,2025-01-28
C000512,2025-11-02
C000513,2024-12-28
C000514,2025-03-12
C000515,2025-10-31
C000516,2025-07-04
C000517,2024-03-22
C000518,2024-12-21
C000519,2024-09-14
C000520,2025-12-18
C000521,2025-08-11
C000522,2025-06-07
C000523,2024-10-21
C000524,2024-08-11
C000525,2025-06-08
C000526,2024-02-15
C000527,2025-10-28
C000528,2024-04-22
C000529,2024-08-20
C000530,2024-01-17
C000531,2024-12-25
C000532,2024-08-10
C000533,2025-11-30
C000534,2025-03-23
C000535,2024-12-30
C000536,2025-11-05
C000537,2024-11-21
C000538,2025-04-11
C000539,2025-02-17
C000540,2025-03-30
C000541,2025-08-08
C000542,2024-08-20
C000543,2024-08-11
C000544,2025-02-15
C000545,2025-07-25
C000546,2024-11-30
C000547,2024-08-09
C000548,2024-02-06
C000549,2024-10-04
C000550,2024-07-14
C000551,2025-04-28
C000552,2024-08-29
C000553,2024-11-19
C000554,2024-07-10
C000555,2024-01-17
C000556,2025-06-07
C000557,2025-02-04
C000558,2025-12-05
C000559,2024-01-22
C000560,2025-04-18
C000561,2024-04-29
C000562,2024-07-28
C000563,2024-11-01
C000564,2024-09-26
C000565,2025-12-04
C000566,2025-11-17
C000567,2024-10-11
C000568,2025-12-16
C000569,2025-11-06
C000570,2024-08-14
C000571,2025-01-15
C000572,2025-04-04
C000573,2024-01-07
C000574,2024-01-29
C000575,2024-02-02
C000576,2025-10-07
C000577,2024-03-19
C000578,2025-04-03
C000579,2025-07-23
C000580,2025-06-21
C000581,2025-04-26
C000582,2025-03-05
C000583,2024-10-11
C000584,2025-05-30
C000585,2024-04-08
C000586,2025-01-31
C000587,2025-05-03
C000588,2024-02-08
C000589,2024-09-27
C000590,2024-06-05
C000591,2024-03-15
C000592,2024-05-09
C000593,2025-11-17
C000594,2024-03-24
C000595,2024-01-22
C000596,2025-04-03
C000597,2025-06-22
C000598,2025-12-07
C000599,2025-01-16
C000600,2025-03-15
C000601,2025-08-26
C000602,2024-01-21
C000603,2024-10-29
C000604,2024-03-24
C000605,2025-10-20
C000606,2025-03-28
C000607,2025-01-21
C000608,2025-05-21
C000609,2024-09-13
C000610,2025-07-23
C000611,2025-06-10
C000612,2024-06-10
C000613,2024-06-11
C000614,2025-06-07
C000615,2024-09-27
C000616,2025-05-06
C000617,2024-07-26
C000618,2025-06-22
C000619,2025-08-06
C000620,2024-02-29
C000621,2025-03-05
C000622,2025-10-18
C000623,2025-08-27
C000624,2024-11-04
C000625,2025-06-03
C000626,2025-08-13
C000627,2024-01-27
C000628,2025-11-16
C000629,2025-07-15
C000630,2024-07-17
C000631,2025-01-21
C000632,2024-12-14
C000633,2025-11-23
C000634,2025-06-19
C000635,2025-01-12
C000636,2025-07-11
C000637,2025-06-10
C000638,2024-06-01
C000639,2024-07-24
C000640,2025-03-30
C000641,2024-09-29
C000642,2024-08-23
C000643,2025-06-04
C000644,2025-11-08
C000645,2025-12-26
C000646,2025-05-15
C000647,2024-04-26
C000648,2025-01-20
C000649,2024-12-09
C000650,2025-08-06
C000651,2025-01-29
C000652,2024-03-04
C000653,2025-12-17
C000654,2025-12-21
C000655,2024-03-12
C000656,2024-09-30
C000657,2024-11-15
C000658,2024-12-03
C000659,2024-12-31
C000660,2025-05-09
C000661,2025-08-29
C000662,2024-06-14
C000663,2025-06-27
C000664,2024-01-11
C000665,2024-10-27
C000666,2025-12-29
C000667,2024-04-11
C000668,2025-02-28
C000669,2025-01-26
C000670,2024-08-01
C000671,2025-11-21
C000672,2024-03-28
C000673,2025-07-06
C000674,2025-02-04
C000675,2025-08-10
C000676,2024-02-15
C000677,2025-11-02
C000678,2025-04-07
C000679,2025-08-14
C000680,2024-11-05
C000681,2024-03-26
C000682,2024-04-01
C000683,2025-10-21
C000684,2025-11-03
C000685,2025-12-14
C000686,2024-08-29
C000687,2024-01-02
C000688,2024-08-12
C000689,2025-08-11
C000690,2024-04-25
C000691,2025-10-27
C000692,2024-04-12
C000693,2024-07-12
C000694,2024-06-14
C000695,2024-03-30
C000696,2025-11-16
C000697,2024-05-01
C000698,2024-05-22
C000699,2024-04-15
C000700,2025-03-03
C000701,2024-10-31
C000702,2024-11-12
C000703,2025-09-26
C000704,2024-01-09
C000705,2024-03-13
C000706,2024-12-24
C000707,2024-08-10
C000708,2025-02-19
C000709,2025-07-06
C000710,2025-01-04
C000711,2025-12-16
C000712,2024-09-20
C000713,2025-11-20
C000714,2024-11-13
C000715,2024-03-24
C000716,2024-11-13
C000717,2024-04-20
C000718,2024-09-07
C000719,2025-01-17
C000720,2024-01-07
C000721,2025-04-03
C000722,2024-03-24
C000723,2024-07-26
C000724,2025-01-24
C000725,2024-11-09
C000726,2024-01-22
C000727,2025-02-13
C000728,2025-05-29
C000729,2024-05-06
C000730,2025-11-30
C000731,2024-01-14
C000732,2024-01-12
C000733,2024-03-27
C000734,2025-06-07
C000735,2025-06-20
C000736,2024-10-27
C000737,2024-08-30
C000738,2024-05-01
C000739,2024-05-26
C000740,2025-07-20
C000741,2024-12-21
C000742,2025-11-15
C000743,2025-09-22
C000744,2024-11-04
C000745,2025-11-25
C000746,2024-10-14
C000747,2024-11-02
C000748,2025-08-16
C000749,2025-12-23
C000750,2025-10-23
C000751,2025-07-02
C000752,2024-12-17
C000753,2024-11-07
C000754,2024-02-28
C000755,2025-10-04
C000756,2025-12-14
C000757,2024-02-04
C000758,2025-03-20
C000759,2024-04-02
C000760,2024-07-25
C000761,2024-12-18
C000762,2024-11-27
C000763,2025-12-25
C000764,2024-06-07
C000765,2024-01-24
C000766,2025-02-07
C000767,2025-05-30
C000768,2024-12-29
C000769,2025-01-16
C000770,2025-06-15
C000771,2024-05-31
C000772,2025-07-15
C000773,2025-11-19
C000774,2025-08-30
C000775,2025-09-08
C000776,2025-02-23
C000777,2024-09-06
C000778,2024-04-26
C000779,2025-05-26
C000780,2025-07-31
C000781,2024-11-30
C000782,2025-02-21
C000783,2024-10-21
C000784,2025-01-05
C000785,2024-07-04
C000786,2024-09-02
C000787,2025-09-28
C000788,2024-09-24
C000789,2025-10-04
C000790,2024-08-24
C000791,2025-06-13
C000792,2025-07-05
C000793,2024-01-21
C000794,2025-06-03
C000795,2024-04-09
C000796,2025-04-22
C000797,2025-08-21
C000798,2024-10-24
C000799,2025-06-09
C000800,2024-11-29
C000801,2024-01-02
C000802,2025-01-09
C000803,2024-10-19
C000804,2025-07-06
C000805,2024-11-13
C000806,2025-05-16
C000807,2025-01-15
C000808,2025-09-14
C000809,2024-01-14
C000810,2025-05-18
C000811,2024-08-18
C000812,2024-03-24
C000813,2024-05-09
C000814,2024-05-24
C000815,2024-01-28
C000816,2024-03-06
C000817,2024-06-11
C000818,2024-08-16
C000819,2024-09-17
C000820,2025-03-24
C000821,2025-02-27
C000822,2025-04-04
C000823,2025-11-06
C000824,2024-10-27
C000825,2024-10-29
C000826,2024-10-13
C000827,2025-01-29
C000828,2024-01-10
C000829,2025-12-07
C000830,2025-09-21
C000831,2024-09-26
C000832,2025-08-14
C000833,2025-08-27
C000834,2024-12-26
C000835,2024-09-13
C000836,2024-05-12
C000837,2024-10-02
C000838,2025-11-13
C000839,2025-05-27
C000840,2024-11-08
C000841,2025-07-29
C000842,2024-10-10
C000843,2024-04-30
C000844,2024-04-16
C000845,2025-11-17
C000846,2024-07-22
C000847,2024-06-13
C000848,2024-10-31
C000849,2025-05-11
C000850,2025-09-23
C000851,2025-07-09
C000852,2024-06-04
C000853,2025-01-01
C000854,2025-12-19
C000855,2025-09-11
C000856,2024-09-07
C000857,2024-11-29
C000858,2025-10-03
C000859,2025-05-25
C000860,2024-10-19
C000861,2024-01-20
C000862,2024-10-08
C000863,2024-01-01
C000864,2024-04-28
C000865,2024-02-04
C000866,2024-07-16
C000867,2025-04-29
C000868,2024-02-28
C000869,2024-06-09
C000870,2025-11-21
C000871,2024-07-24
C000872,2024-01-12
C000873,2025-05-04
C000874,2024-10-02
C000875,2025-11-23
C000876,2024-08-29
C000877,2024-08-03
C000878,2024-09-07
C000879,2024-05-05
C000880,2024-08-04
C000881,2024-11-01
C000882,2024-07-03
C000883,2024-02-08
C000884,2024-08-10
C000885,2024-07-02
C000886,2025-05-09
C000887,2025-03-02
C000888,2024-06-26
C000889,2025-03-03
C000890,2024-10-20
C000891,2024-05-30
C000892,2025-01-18
C000893,2025-09-29
C000894,2024-11-03
C000895,2024-12-01
C000896,2025-01-09
C000897,2024-01-08
C000898,2024-12-06
C000899,2024-05-08
C000900,2025-10-30
C000901,2024-12-17
C000902,2024-12-23
C000903,2025-05-31
C000904,2025-05-09
C000905,2024-03-26
C000906,2024-06-23
C000907,2024-07-11
C000908,2024-11-06
C000909,2024-04-28
C000910,2024-08-05
C000911,2025-03-02
C000912,2025-02-17
C000913,2024-04-23
C000914,2024-05-24
C000915,2025-06-21
C000916,2025-10-09
C000917,2024-10-29
C000918,2025-08-10
C000919,2024-12-10
C000920,2024-01-01
C000921,2024-05-26
C000922,2024-10-13
C000923,2025-10-15
C000924,2024-02-22
C000925,2024-10-30
C000926,2024-03-09
C000927,2024-12-26
C000928,2025-08-24
C000929,2024-08-07
C000930,2025-12-04
C000931,2025-07-28
C000932,2025-08-07
C000933,2024-06-09
C000934,2025-11-11
C000935,2024-03-29
C000936,2025-11-18
C000937,2025-08-07
C000938,2025-08-11
C000939,2024-06-07
C000940,2025-05-03
C000941,2024-11-19
C000942,2025-09-01
C000943,2025-01-15
C000944,2024-04-11
C000945,2025-05-08
C000946,2025-10-05
C000947,2025-09-05
C000948,2024-01-19
C000949,2025-03-29
C000950,2025-04-26
C000951,2025-08-16
C000952,2025-01-31
C000953,2024-10-05
C000954,2024-12-30
C000955,2024-11-26
C000956,2025-10-02
C000957,2024-12-09
C000958,2025-03-30
C000959,2025-08-23
C000960,2025-12-25
C000961,2025-10-16
C000962,2024-03-05
C000963,2024-03-16
C000964,2025-12-11
C000965,2024-05-22
C000966,2025-08-27
C000967,2025-04-17
C000968,2025-02-20
C000969,2024-10-31
C000970,2025-05-11
C000971,2024-10-17
C000972,2024-04-11
C000973,2024-09-23
C000974,2025-09-13
C000975,2024-01-03
C000976,2024-03-25
C000977,2024-11-23
C000978,2025-03-25
C000979,2025-03-29
C000980,2025-09-20
C000981,2024-08-08
C000982,2024-06-02
C000983,2025-10-26
C000984,2024-01-12
C000985,2024-05-12
C000986,2024-10-30
C000987,2024-10-19
C000988,2024-10-26
C000989,2024-02-12
C000990,2024-12-08
C000991,2024-11-21
C000992,2025-05-12
C000993,2024-12-29
C000994,2025-03-02
C000995,2024-01-21
C000996,2025-02-10
C000997,2025-09-10
C000998,2024-12-01
C000999,2024-04-26
C001000,2024-05-03
C001001,2025-02-02
C001002,2025-12-15
C001003,2024-02-20
C001004,2024-11-19
C001005,2024-05-20
C001006,2025-04-14
C001007,2024-11-29
C001008,2025-01-07
C001009,2025-07-17
C001010,2025-05-08
C001011,2025-06-22
C001012,2025-10-30
C001013,2024-06-04
C001014,2024-10-17
C001015,2025-10-09
C001016,2024-05-23
C001017,2024-04-15
C001018,2025-02-23
C001019,2025-10-31
C001020,2025-10-19
C001021,2024-01-02
C001022,2025-08-11
C001023,2025-10-05
C001024,2024-03-30
C001025,2024-12-10
C001026,2024-12-15
C001027,2025-04-03
C001028,2024-09-19
C001029,2024-12-16
C001030,2024-04-17
C001031,2025-08-08
C001032,2024-02-08
C001033,2024-06-07
C001034,2025-08-05
C001035,2024-11-07
C001036,2024-08-28
C001037,2025-03-20
C001038,2024-10-24
C001039,2024-02-05
C001040,2024-03-24
C001041,2025-03-27
C001042,2025-01-19
C001043,2024-06-20
C001044,2025-01-10
C001045,2025-11-15
C001046,2024-12-27
C001047,2025-07-12
C001048,2024-05-20
C001049,2024-04-27
C001050,2024-10-03
C001051,2025-12-26
C001052,2024-08-07
C001053,2024-01-26
C001054,2025-06-04
C001055,2024-01-10
C001056,2025-01-12
C001057,2025-09-24
C001058,2025-09-28
C001059,2025-11-12
C001060,2025-08-06
C001061,2024-05-31
C001062,2025-12-20
C001063,2024-02-18
C001064,2024-06-02
C001065,2024-10-19
C001066,2025-08-02
C001067,2024-02-19
C001068,2025-10-25
C001069,2025-06-14
C001070,2025-09-03
C001071,2024-02-29
C001072,2024-06-15
C001073,2024-07-20
C001074,2024-05-25
C001075,2025-11-06
C001076,2025-03-14
C001077,2024-08-29
C001078,2025-08-03
C001079,2025-11-17
C001080,2025-07-14
C001081,2025-04-27
C001082,2024-04-17
C001083,2024-08-13
C001084,2025-11-03
C001085,2025-09-22
C001086,2025-10-22
C001087,2025-10-23
C001088,2025-03-07
C001089,2025-10-16
C001090,2025-02-22
C001091,2025-03-30
C001092,2024-06-08
C001093,2025-06-06
C001094,2025-10-11
C001095,2025-08-12
C001096,2024-03-17
C001097,2025-05-23
C001098,2025-03-16
C001099,2024-09-10
C001100,2024-11-15
C001101,2024-09-19
C001102,2025-08-19
C001103,2025-10-19
C001104,2025-07-07
C001105,2025-01-08
C001106,2025-09-28
C001107,2024-06-15
C001108,2025-04-03
C001109,2024-10-06
C001110,2025-11-30
C001111,2024-10-28
C001112,2025-06-14
C001113,2025-08-02
C001114,2024-08-05
C001115,2024-04-11
C001116,2025-07-07
C001117,2024-10-14
C001118,2024-06-15
C001119,2025-09-12
C001120,2024-02-05
C001121,2024-12-18
C001122,2025-11-06
C001123,2024-03-13
C001124,2025-10-09
C001125,2024-12-18
C001126,2024-03-10
C001127,2025-02-28
C001128,2025-12-08
C001129,2025-07-14
C001130,2025-10-03
C001131,2025-05-31
C001132,2025-03-03
C001133,2025-06-22
C001134,2024-06-08
C001135,2024-05-28
C001136,2024-08-17
C001137,2025-12-12
C001138,2025-07-15
C001139,2024-03-07
C001140,2025-01-15
C001141,2024-02-27
C001142,2024-09-15
C001143,2024-12-07
C001144,2024-05-09
C001145,2025-12-27
C001146,2024-06-20
C001147,2025-09-05
C001148,2024-07-27
C001149,2024-12-19
C001150,2025-04-15
C001151,2024-04-25
C001152,2024-09-20
C001153,2025-10-23
C001154,2025-03-17
C001155,2025-07-01
C001156,2025-03-28
C001157,2025-04-21
C001158,2024-10-13
C001159,2024-10-29
C001160,2024-11-06
C001161,2024-07-26
C001162,2025-09-09
C001163,2025-03-21
C001164,2025-10-31
C001165,2025-09-24
C001166,2024-02-24
C001167,2024-01-12
C001168,2025-10-18
C001169,2025-02-03
C001170,2025-10-09
C001171,2025-05-29
C001172,2025-10-17
C001173,2025-06-25
C001174,2024-08-24
C001175,2024-10-05
C001176,2024-12-13
C001177,2025-09-18
C001178,2024-04-13
C001179,2025-09-21
C001180,2025-05-31
C001181,2024-09-04
C001182,2024-12-29
C001183,2024-11-16
C001184,2025-09-24
C001185,2024-10-12
C001186,2024-05-28
C001187,2024-03-24
C001188,2025-02-09
C001189,2025-03-31
C001190,2024-06-09
C001191,2025-04-04
C001192,2025-07-03
C001193,2025-05-14
C001194,2025-05-23
C001195,2025-10-15
C001196,2025-04-25
C001197,2025-10-24
C001198,2024-04-23
C001199,2025-07-31
C001200,2024-12-26
C001201,2024-12-06
C001202,2025-03-24
C001203,2024-06-28
C001204,2025-12-02
C001205,2025-02-10
C001206,2025-10-27
C001207,2024-07-14
C001208,2025-04-10
C001209,2024-11-06
C001210,2024-09-18
C001211,2025-02-22
C001212,2025-02-09
C001213,2024-05-22
C001214,2024-12-07
C001215,2024-11-11
C001216,2024-04-10
C001217,2024-08-31
C001218,2025-05-04
C001219,2024-01-12
C001220,2024-08-26
C001221,2025-07-14
C001222,2024-02-11
C001223,2025-11-08
C001224,2025-08-16
C001225,2025-03-04
C001226,2024-06-06
C001227,2024-08-03
C001228,2025-10-31
C001229,2025-04-06
C001230,2024-05-13
C001231,2024-03-07
C001232,2024-01-07
C001233,2025-06-09
C001234,2024-03-13
C001235,2025-02-02
C001236,2025-02-08
C001237,2025-11-05
C001238,2025-07-31
C001239,2024-05-09
C001240,2025-04-10
C001241,2024-07-24
C001242,2024-09-22
C001243,2025-06-20
C001244,2024-09-09
C001245,2024-10-15
C001246,2024-06-12
C001247,2024-04-04
C001248,2024-04-19
C001249,2024-12-01
C001250,2024-08-25
C001251,2025-01-15
C001252,2025-03-11
C001253,2025-04-27
C001254,2024-01-25
C001255,2025-10-14
C001256,2024-04-26
C001257,2025-04-26
C001258,2025-01-26
C001259,2025-06-20
C001260,2024-03-19
C001261,2025-08-02
C001262,2024-06-21
C001263,2024-01-12
C001264,2024-05-07
C001265,2025-08-30
C001266,2024-04-01
C001267,2025-10-14
C001268,2025-06-26
C001269,2025-06-15
C001270,2025-10-19
